,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-rh-inferiorparietal,3.7917,2.5,29.167,37.875,0.45833,41.458,72.417,53.125,87.542,99.292,2.1667,40.25,2,23.75,7.4167,16.083,8.4167,0.75,2,75.542,19.958,8.875,37.375,363.33,0.375,23.458,96.042,307.21,43.083,37.292,0.16667,1.9167,8.4167,21.875,2825,11.792,1236.8,107.54,5.6667,1370.8,0,3553.5,269.62,6679.2,76.417,181.83,10.125,8257.5,51.917,24,784,68.417,251.29,96.542,685.21,26.625,1980.8,884.46,1.25,884.38,436.67,18632,1302.7,6512.9,5.125,16.083,76.333,566.71
ctx-rh-inferiortemporal,0.91667,0.5,8.25,20.167,0.33333,22.375,24,33.042,26.042,60.25,0.79167,25.375,1.2083,9.25,3.125,2.6667,2.5417,0.083333,0.58333,39.458,3.6667,1.4167,5.7917,130.71,0.20833,5.625,24.792,101.25,12.292,7.7917,0.041667,0.45833,2.0833,5.875,191.96,2.7083,348.71,69.667,22.5,4429.8,3553.5,0,78.708,2881.5,85.5,481.21,18.75,6604.7,132.17,2.4167,125.17,20.167,53.667,202.38,77.083,5.0833,269.33,195.29,0.58333,353.17,85.208,717.83,271.54,267.79,4.5833,274.5,5.4583,296.33
ctx-rh-isthmuscingulate,4.125,2.0417,3.0417,64.25,1.375,32.125,49.125,31.708,257,94.542,6.3333,61.917,15,16.333,11.583,6.4167,3.5,1.1667,1.2917,85.417,10.583,13,5.2917,354.54,2.6667,18.042,28.542,239.88,37.958,38,3.8333,1.1667,5.375,13.917,32.583,336.46,6.125,371.54,41.292,144.88,269.62,78.708,0,403.38,19.375,506.62,46.208,91.625,499.12,19.167,26.083,2.5833,13.625,282.46,7.75,1332.2,13.75,7398.1,113.08,36.917,636.67,1143.8,198.88,148.79,7.5833,4.6667,25.625,73.875
ctx-rh-lateraloccipital,0.875,0.41667,1.3333,187.79,3.4167,89,54.875,37.75,105.62,458.46,0.5,198.29,0.75,9.875,18.375,1.0833,0.41667,0.083333,0.16667,336.96,1.9583,1.125,2.2917,319.21,0.16667,0.95833,4.875,395.21,15.458,5.2917,0,1.75,2.1667,10.875,84.625,0.95833,67.167,3925.7,13.042,7962,6679.2,2881.5,403.38,0,88.208,6175.2,8.7083,1693.6,133.12,2.25,14.5,15.167,6.75,8047,16.125,3.5833,55.75,786.71,0.33333,58.542,29.958,8135.8,854.62,29.167,5.2083,22.583,10.417,412.67
ctx-rh-lateralorbitofrontal,0.16667,18.083,2,0.70833,0.083333,1.5833,2,3.25,6.1667,2.7917,58.208,1.375,157.08,0.70833,0.70833,0.41667,1.8333,12.875,6.2083,1.8333,0.375,5.9583,1.25,13.625,35.667,85.708,91.417,8.8333,1.2083,1.0833,25.167,0.45833,0.125,6.375,23.083,84.667,12.833,7.0417,5.625,45.917,76.417,85.5,19.375,88.208,0,85.75,810.21,290.62,9.3333,3.125,170.62,2594.8,783.46,31.083,40.167,17.208,63.708,28.083,141.67,1532.8,159.42,45.625,493,63.167,272.83,152.92,3.7917,2822.4
ctx-rh-lingual,0.5,0.125,0.54167,81,3.0833,51.125,20.75,16.75,60.708,162,0.58333,137.29,0.83333,4.9583,17.583,0.54167,0.16667,0.16667,0,139.54,0.79167,0.33333,1.0417,126.29,0.083333,0.66667,1.7917,145.92,7.375,2.2083,0.125,0.625,1.0833,4.3333,15.417,1.5417,4.875,2229.3,21.042,4241.2,181.83,481.21,506.62,6175.2,85.75,0,8.8333,504.33,833.83,0.54167,2.625,15.208,3.1667,10188,1.4583,5.0417,5.25,1492.8,0.625,30.125,11.458,1149.2,333.75,7.9583,5.625,23.75,1.5,219.71
ctx-rh-medialorbitofrontal,0.16667,126.75,1.9583,0.20833,0.20833,0.58333,0.29167,0.625,25.417,0.58333,283.71,0.83333,1111,1.7917,1,0.125,2.9167,63.208,17.667,0.5,0.29167,41.083,0.54167,17.75,260.04,419.83,557.21,1.1667,1.875,0.20833,193.29,1.7083,0.041667,27.875,2.2083,276.92,2.625,0.625,1.625,6.5417,10.125,18.75,46.208,8.7083,810.21,8.8333,0,39.083,3.4583,2.2917,3.9583,22,7.5,2.4167,1.125,65.083,2.8333,32.917,1488,176.12,2014.8,4.9167,105.21,3.375,569.79,45.917,0.20833,416.42
ctx-rh-middletemporal,2.125,1.125,15.167,10.792,0.33333,13.25,22.583,21.25,29.25,35,1.125,15.125,1.8333,8.9167,3.9167,5.3333,3.6667,0.16667,1.3333,22.792,10.208,3.7917,10.083,125.42,0.41667,11.583,41.25,101.62,17.75,19.375,0.41667,0.625,3.2917,8.4583,3683.6,8.5833,456.67,84.917,4.125,370.75,8257.5,6604.7,91.625,1693.6,290.62,504.33,39.083,0,42.75,7.5,317.71,76.167,178.46,242.71,125.12,13.708,417.08,215.08,1.5833,657.08,168.58,715.29,3676.3,1258.1,14.708,150.5,19.125,616.96
ctx-rh-parahippocampal,0.083333,0,0.25,8.6667,0.54167,6.9583,2.7083,1.7917,11.583,14.542,0.41667,19.875,1.2083,0.83333,4.0833,0.58333,0.083333,0.125,0.083333,16.125,0.58333,0.33333,0.25,17.5,0.20833,0.58333,0.91667,16.208,1.1667,0.875,0.041667,0.041667,0.33333,0.83333,2.0833,16.792,1.9167,85.958,614.54,1161,51.917,132.17,499.12,133.12,9.3333,833.83,3.4583,42.75,0,0.375,1.4167,0.91667,0.625,103.88,0.41667,34.625,1.7917,579,5.1667,4.7083,36.542,179.04,24.958,3.4167,0.875,50.667,1.1667,47.5
ctx-rh-paracentral,2.9167,5.4167,35.375,0.875,0.25,1.375,19.708,4.9583,36.125,1.6667,2.25,0.83333,0.75,5.9167,0.75,1218.6,24.292,1.0417,5.0417,0.66667,280.83,342.92,922.08,225.12,0.45833,20.708,473.88,145.75,22.833,92.375,0.16667,0.16667,4.9167,20.917,4.625,115.58,27.958,0.16667,0.20833,1.75,24,2.4167,19.167,2.25,3.125,0.54167,2.2917,7.5,0.375,0,39.75,3.2917,13.667,0.375,2230.7,3159.2,3218.9,3137.9,6.5,41.833,3121.8,982,34.75,177.29,0.83333,0.083333,8.2917,61.667
ctx-rh-parsopercularis,0.79167,30.125,179.58,0.125,0.041667,0.79167,5.9583,2.125,3.7083,0.58333,3.4167,0.083333,1.8333,1.75,0.16667,12.417,87.208,2.5833,24.083,0.25,6.75,10.792,46.792,21,3.125,240.25,670.08,15.625,1.8333,5.2083,0.83333,0.041667,0.45833,11.875,92.667,179.17,3016.8,1.0833,0.29167,9.9167,784,125.17,26.083,14.5,170.62,2.625,3.9583,317.71,1.4167,39.75,0,256.96,3059.1,1.625,370.58,44.208,4378.5,96.208,3.75,2772.8,2696.5,242,122.79,914.58,3.5,1,8.4583,1382.6
ctx-rh-parsorbitalis,0.083333,4.5417,5.375,0.16667,0.041667,0.20833,0.625,0.20833,1.125,0.375,14.333,0.29167,31.083,0.5,0.16667,0.83333,4.7083,15.292,14.75,0.375,0.41667,1.1667,2.4583,3.4583,11.417,144.62,133.42,2.3333,0.29167,0.79167,12.292,0.083333,0.125,3.0417,25.375,10.583,22.708,1.5,0.083333,6.6667,68.417,20.167,2.5833,15.167,2594.8,15.208,22,76.167,0.91667,3.2917,256.96,0,1890.6,5.125,44.5,3.2917,81.542,7.0833,12.542,1799.8,232.38,21.5,78.458,110.58,36.792,5.3333,3.5833,415.62
ctx-rh-parstriangularis,0.29167,14.417,31,0.041667,0,0.083333,1.125,0.58333,2.5833,0.083333,5.375,0.29167,9,0.83333,0.125,3.1667,32.292,8.0833,37.375,0.29167,2.2917,3.3333,8.125,6.5417,12.375,309.58,409.33,3.25,1,2.2083,4.75,0.041667,0.125,7.4167,59.583,85,190.08,0.875,0.20833,5.125,251.29,53.667,13.625,6.75,783.46,3.1667,7.5,178.46,0.625,13.667,3059.1,1890.6,0,1.625,120.25,18.375,286.62,26.333,17.792,4241.1,1109.8,60.25,125.83,349.92,10.208,0.83333,8.4167,1227
ctx-rh-pericalcarine,0.625,0,0.20833,96.625,2.125,45.958,24.875,15.5,64.833,199.62,0.45833,116.33,0.54167,4.25,13.5,0.375,0.25,0,0.083333,162.38,0.70833,0.58333,0.625,147,0.041667,0.45833,1.0833,185.25,6.25,1.9167,0.083333,1,0.54167,3.9167,17.292,0.54167,3.25,12869,6.4167,464.54,96.542,202.38,282.46,8047,31.083,10188,2.4167,242.71,103.88,0.375,1.625,5.125,1.625,0,1.2083,1.3333,3,1195.1,0.20833,11.958,4.7917,2397.7,195.54,5.9583,1.9167,7.7083,1.5833,102.96
ctx-rh-postcentral,2.875,2.5417,14.333,0.5,0,1.375,12.875,4.375,18.708,1.25,1.0417,0.66667,0.58333,6.7083,0.95833,256.04,11.542,0.29167,2.7083,0.54167,226.12,63.458,214.25,151.67,0.25,13.083,98.208,124.5,34.125,111.29,0.20833,0.083333,9.0833,15.208,32.708,9.375,483,0.79167,0.041667,14.792,685.21,77.083,7.75,16.125,40.167,1.4583,1.125,125.12,0.41667,2230.7,370.58,44.5,120.25,1.2083,0,143.38,17098,260.5,0.70833,205.79,487.96,5286.6,205.92,6466.3,1.125,0.5,70.833,2093
ctx-rh-posteriorcingulate,2,14.833,48.417,0.95833,0.041667,1.6667,11.667,4.2917,46.417,2.3333,7.5833,0.75,19.375,6.2917,0.91667,382.12,29.333,1.8333,4.5,1.1667,83.5,229.42,223.5,192.92,4.125,29.083,468.67,86.333,16.5,42.042,3.6667,0.20833,4.2083,12.625,8.9167,1186.3,23.125,1.4167,4.625,4.0833,26.625,5.0833,1332.2,3.5833,17.208,5.0417,65.083,13.708,34.625,3159.2,44.208,3.2917,18.375,1.3333,143.38,0,334.75,3577.8,223.08,55.25,2683.9,264.62,49.292,116.67,6.5,0.70833,9.375,38.333
ctx-rh-precentral,1.3333,20.25,303.67,0.95833,0.041667,2.875,34.542,6.6667,14.292,3.75,3.3333,1.125,1.25,6.0833,0.45833,995.42,104.71,2.125,12.542,1.4167,194.25,201.29,1529.3,173.88,0.875,68.667,1536.7,130.96,9.0833,46.417,0.45833,0.16667,2.5,32.875,73.542,73.417,7087.3,3.2083,0.125,40.792,1980.8,269.33,13.75,55.75,63.708,5.25,2.8333,417.08,1.7917,3218.9,4378.5,81.542,286.62,3,17098,334.75,0,363.71,2.0833,1241.1,7795.4,2404.5,153.12,2119.7,2.1667,1.125,30.083,1722.8
ctx-rh-precuneus,23.958,5.625,42.083,173.88,3.1667,142,227.79,176.21,500.71,441,10.875,194.54,13.125,79.958,28.167,177.12,22.667,2.0417,4.7917,320.29,176.04,121.71,142.42,1304.5,2.5,36.208,186.62,1056.4,193.25,256.08,2.0833,6.7917,34.208,78.75,61.875,423.29,83.25,2749.5,60.042,270.75,884.46,195.29,7398.1,786.71,28.083,1492.8,32.917,215.08,579,3137.9,96.208,7.0833,26.333,1195.1,260.5,3577.8,363.71,0,83.167,125.71,1972.1,8315.8,487.54,443.12,5.6667,8.75,69.417,253.46
ctx-rh-rostralanteriorcingulate,0,16.458,1.7917,0,0,0.083333,0.125,0.45833,3.9167,0.125,39,0.20833,176.42,0.41667,0.25,0.41667,3,8.4583,11.542,0.041667,0.083333,4.5833,1.0417,2.5833,62.625,154.21,220.29,0.58333,0.375,0.16667,29.125,0.125,0.041667,5.8333,0.29167,1504.2,1.5,0.041667,0.45833,0.5,1.25,0.58333,113.08,0.33333,141.67,0.625,1488,1.5833,5.1667,6.5,3.75,12.542,17.792,0.20833,0.70833,223.08,2.0833,83.167,0,182.42,2657.2,2.875,4.1667,1.2083,47.917,2.0417,0.083333,55.208
ctx-rh-rostralmiddlefrontal,2.0417,139.25,232.42,0.25,0.083333,1.7083,9.5833,6.5417,22,1.6667,149.08,1.5,290.33,7.625,1.2917,13.708,215.38,146.38,267.88,0.91667,8.125,36.417,48.667,46.125,206.29,2405.7,3164.2,16.792,7.9583,9.5417,113.12,1.2083,1.1667,55.625,123.04,360.17,5713.8,4.375,0.83333,41.417,884.38,353.17,36.917,58.542,1532.8,30.125,176.12,657.08,4.7083,41.833,2772.8,1799.8,4241.1,11.958,205.79,55.25,1241.1,125.71,182.42,0,9299,222.96,207.42,423.25,507.38,11.792,8.75,612.38
ctx-rh-superiorfrontal,5.6667,440.92,1255.9,2.1667,0.16667,7.0417,63.708,25.958,54.125,9.25,176.42,3,413.75,26.542,2.5,384.58,704.83,141.71,353.25,2.375,81.25,326.46,1210.8,234.75,278.42,3195,8424.2,149.25,20.917,37.917,174.58,1.75,3.125,160.83,48.833,6220.2,8564.7,4.875,5,20.083,436.67,85.208,636.67,29.958,159.42,11.458,2014.8,168.58,36.542,3121.8,2696.5,232.38,1109.8,4.7917,487.96,2683.9,7795.4,1972.1,2657.2,9299,0,1235.9,109.5,243.42,627.08,3.2083,10,720.12
ctx-rh-superiorparietal,26.625,3.3333,32.75,218.88,4.4583,154.08,276.04,175.12,370.75,497.54,6.75,222.75,4.2083,90.875,35.375,143.79,18.708,1.125,3.875,395.5,184.54,79.083,138.96,1279,0.79167,18.25,140.79,1155.8,198.75,301.17,0.29167,3.9167,34.583,75.917,167.5,26.458,545.46,5152.7,16.792,1345.8,18632,717.83,1143.8,8135.8,45.625,1149.2,4.9167,715.29,179.04,982,242,21.5,60.25,2397.7,5286.6,264.62,2404.5,8315.8,2.875,222.96,1235.9,0,1400.4,5353.8,3.8333,10.542,260.75,1146.8
ctx-rh-superiortemporal,5.5833,0.70833,5.2083,10.708,0.29167,15.875,39.625,26.792,59.292,40.458,1.4583,15.292,3.125,16.042,4.2917,22.875,3,0.41667,1.1667,20.125,49.5,13.792,14.083,256.62,0.70833,9.0417,20.708,215,48.75,64.5,0.54167,0.875,9.5833,17.833,2674.1,7.375,50,97.625,6.125,149.88,1302.7,271.54,198.88,854.62,493,333.75,105.21,3676.3,24.958,34.75,122.79,78.458,125.83,195.54,205.92,49.292,153.12,487.54,4.1667,207.42,109.5,1400.4,0,3468.6,22.083,290.88,2673.1,2435.7
ctx-rh-supramarginal,4.1667,1.625,14.667,1.5417,0.083333,4.1667,26.708,14.125,53.292,6.1667,0.95833,2.6667,1.1667,13.625,2.2083,92.833,9.5,0.33333,3.4167,2.875,159,38.458,58.875,270.25,0.625,21.75,59.375,253.79,51.458,128.25,0.33333,0.54167,13.5,20.792,1393.8,13.292,217.75,4.5833,0.33333,22.667,6512.9,267.79,148.79,29.167,63.167,7.9583,3.375,1258.1,3.4167,177.29,914.58,110.58,349.92,5.9583,6466.3,116.67,2119.7,443.12,1.2083,423.25,243.42,5353.8,3468.6,0,1.9167,1.9583,540.04,2368.6
ctx-rh-frontalpole,0.041667,29.167,0.91667,0.041667,0,0.083333,0,0.29167,4.7083,0.125,69.417,0.25,200.33,0.45833,0.29167,0.041667,2.375,30.625,13.167,0.20833,0.125,9.7083,0.375,3.75,59.292,192.08,227.79,0.20833,0.70833,0.20833,48.792,0.25,0,5,0.95833,20.625,2.875,0.75,0.16667,3.2917,5.125,4.5833,7.5833,5.2083,272.83,5.625,569.79,14.708,0.875,0.83333,3.5,36.792,10.208,1.9167,1.125,6.5,2.1667,5.6667,47.917,507.38,627.08,3.8333,22.083,1.9167,0,6.5,0.083333,55.375
ctx-rh-temporalpole,0,0.20833,0,0.20833,0,0.875,0.5,0.79167,0.70833,1.75,0.29167,0.95833,0.95833,0.20833,0.083333,0.083333,0,0,0,1.25,0.041667,0.041667,0.083333,2.875,0.29167,0.54167,0.625,2.4583,0.25,0.125,0.041667,0,0,0.16667,2.7083,1,1.0417,2.3333,144.04,133.5,16.083,274.5,4.6667,22.583,152.92,23.75,45.917,150.5,50.667,0.083333,1,5.3333,0.83333,7.7083,0.5,0.70833,1.125,8.75,2.0417,11.792,3.2083,10.542,290.88,1.9583,6.5,0,0.16667,1412.2
ctx-rh-transversetemporal,0.58333,0.16667,0.95833,0.95833,0,1.6667,4.4583,2.5833,5.625,3.4583,0.125,1.375,0.083333,2.0417,0.16667,4.3333,0.375,0,0.083333,1.9167,10.375,2.7083,2.5833,29.5,0,1,2.3333,25.458,6.6667,9.9583,0,0,1.7083,2.625,30.208,0.79167,3.3333,2.7917,0.20833,2.4167,76.333,5.4583,25.625,10.417,3.7917,1.5,0.20833,19.125,1.1667,8.2917,8.4583,3.5833,8.4167,1.5833,70.833,9.375,30.083,69.417,0.083333,8.75,10,260.75,2673.1,540.04,0.083333,0.16667,0,939.04
ctx-rh-insula,2.25,6.7083,22.958,8.4167,0.20833,9.4167,22.333,17,23.458,24.5,8.875,9.875,22.917,8.375,1.8333,18.958,12.208,1.75,6.0417,13.417,22.458,12.042,26.958,125.92,6.9167,47.417,128.75,91.917,20.917,31.417,1.875,0.29167,3.4167,11.458,106.79,61.625,132.04,45.25,291.58,159.5,566.71,296.33,73.875,412.67,2822.4,219.71,416.42,616.96,47.5,61.667,1382.6,415.62,1227,102.96,2093,38.333,1722.8,253.46,55.208,612.38,720.12,1146.8,2435.7,2368.6,55.375,1412.2,939.04,0
