,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-rh-entorhinal,0,0.20412,0.28233,1.3613,0.33783,1.4421,0.77553,0.53161,1.8158,3.2501,0.20412,6.1596,0.28233,0.20412,1.4446,0.20412,0.20412,0,0,2.4302,0.20412,0,0.20412,1.6854,0,0.44843,0.33783,2.2067,0.38069,0.28233,0,0,0,0.28233,0.92861,1.9542,0.92372,5.8527,0,140.44,4.229,30.984,27.512,12.263,6.3164,11.98,1.9519,5.8778,212.81,0.50898,0.46431,0.28233,0.50898,5.6021,0.20412,2.7475,0.33783,47.805,0.65801,0.8165,5.5873,11.417,12.989,0.70196,0.48154,107.69,0.50898,216.64
ctx-rh-fusiform,0.97709,0.33783,1.2847,21.437,1.1765,22.489,10.321,16.035,16.498,57.263,0.77553,36.044,0.77903,3.6572,7.293,0.97431,0.38069,0,0.20412,29.307,0.88363,1.5948,1.5948,55.005,0,0.83297,2.2742,51.188,6.1621,2.8079,0,2.4639,0.91683,4.4816,16.484,1.6676,37.629,75.14,140.44,0,505.49,1394.5,74.105,1707.4,27.356,1358.4,7.8849,94.455,309.93,2.3266,6.3856,5.2143,4.2253,186.9,15.828,2.603,35.648,133.29,0.65938,30.367,18.524,554.48,58.049,15.404,3.29,151.04,1.8631,91.334
ctx-rh-inferiorparietal,3.967,2.9043,19.309,24.006,0.88363,38.902,91.711,58.151,73.369,72.384,2.6155,29.458,2.8284,22.501,15.615,10.069,5.9265,0.98907,1.588,55.015,18.454,5.7884,23.046,251.19,0.57578,13.787,39.773,191.34,30.765,32.857,0.48154,4.577,7.581,14.627,1012.1,9.0553,490.2,68.937,4.229,505.49,0,987.86,149.32,1790,44.449,120.15,17.471,1586,31.543,19.97,271.47,46.311,141.69,51.016,331.03,24.926,729.45,407.88,1.5108,587.08,169.84,2599.7,413.21,1136,6.2367,14.829,50.237,273.03
ctx-rh-inferiortemporal,1.4421,0.65938,7.9194,18.367,0.63702,29.431,21.238,54.119,26.133,80.007,1.2151,30.916,1.7189,15.793,5.3756,2.7293,2.604,0.28233,0.92861,38.749,4.0825,1.5299,4.6623,106.48,0.50898,3.9652,16.932,81.077,13.291,8.2566,0.20412,0.93153,4.0745,5.8258,141.06,2.6123,239.24,48.944,30.984,1394.5,987.86,0,42.999,1080.2,61.817,241.04,31.878,1596.1,68.605,1.9763,77.259,11.597,45.191,116.27,80.419,7.0644,207.18,126.94,0.97431,224.07,71.894,288.99,111.83,217.95,5.0123,249.57,4.653,161.58
ctx-rh-isthmuscingulate,4.7668,2.0104,3.1413,39.036,2.143,28.123,29.82,30.407,125.69,54.02,5.3541,48.552,14.434,11.518,16.497,8.2088,3.5139,1.5788,1.3981,44.981,13.647,13.702,3.884,118.17,2.7452,8.7351,14.277,103.31,24.887,32.2,3.691,2.3157,5.0027,12.18,21.998,111.94,4.0358,195.55,27.512,74.105,149.32,42.999,0,236.16,16.253,261.05,39.315,42.784,200.35,25.714,19.761,2.6689,10.757,120.4,7.8477,409.8,11.596,1378.7,60.939,24.907,238.83,439.95,130.29,89.671,9.2685,4.0825,19.437,51.892
ctx-rh-lateraloccipital,1.2959,0.97431,1.8098,117.22,4.1485,85.438,36.015,38.216,59.722,527.71,1.0215,182.79,1.1516,9.6473,12.552,1.0598,0.71728,0.28233,0.48154,222.77,1.9667,1.227,2.3495,201.98,0.56466,1.2329,3.3142,252.61,13.856,4.2781,0,3.7329,2.3344,13.241,63.361,1.0826,63.804,1033.9,12.263,1707.4,1790,1080.2,236.16,0,36.825,1355.2,7.037,629.2,68.587,3.6386,13.035,9.9462,4.6927,2328.1,15.437,3.2958,49.505,443.02,0.63702,46.619,25.927,2101.1,369.87,12.292,6.7436,19.531,9.686,180.49
ctx-rh-lateralorbitofrontal,0.38069,16.623,2.4672,0.99909,0.28233,3.2292,2.1669,5.4073,5.1892,3.1482,61.715,1.7892,95.216,1.3345,2.0951,0.65386,2.1602,16.477,9.7979,2.3344,0.6469,5.9744,1.7508,11.111,30.781,58.903,46.668,7.5219,1.3507,2.2247,13.874,1.2504,0.33783,9.169,22.407,72.093,11.138,5.1455,6.3164,27.356,44.449,61.817,16.253,36.825,0,30.516,391.61,130.66,8.4528,2.576,105.69,659.94,445.15,16.623,20.645,17.757,28.809,13.74,136.01,501.43,92.01,17.292,214.45,33.404,164.28,88.03,2.604,545.25
ctx-rh-lingual,0.78019,0.33783,1.0206,45.638,4.138,49.554,16.85,19.594,49.603,142.39,0.97431,91.72,1.3726,8.0405,19.516,0.97709,0.38069,0.38069,0,70.13,1.2847,0.63702,1.4289,78.188,0.28233,1.0072,1.503,84.958,6.5462,2.1055,0.44843,0.96965,1.9542,2.761,15.339,1.7688,3.7914,949.57,11.98,1358.4,120.15,241.04,261.05,1355.2,30.516,0,7.8556,177.88,386.45,0.83297,2.4639,11.178,2.8691,1645.9,1.9106,4.3487,4.0887,515.91,0.76967,23.93,7.5698,409.73,176.27,4.3587,7.5918,17.215,2,92.057
ctx-rh-medialorbitofrontal,0.56466,105.34,2.255,0.50898,0.50898,1.018,0.55003,1.0555,33.725,0.88055,174.57,1.4039,455,2.5018,1.4446,0.33783,2.2634,69.528,16.415,0.88465,0.55003,35.493,1.1025,18.09,139.44,214.1,270.26,1.4346,2.6591,0.50898,98.996,2.5105,0.20412,36.103,5.1498,157.52,4.48,0.92372,1.9519,7.8849,17.471,31.878,39.315,7.037,391.61,7.8556,0,32.107,4.1492,2.4043,3.3813,18.971,5.5404,1.8863,1.1156,49.61,4.5556,26.14,655.03,119.81,734.47,5.7553,103.81,7.6716,273.97,42.824,0.50898,222.87
ctx-rh-middletemporal,2.3278,1.191,14.82,9.2312,0.70196,13.823,18.036,26.443,19.252,34.865,1.329,16.892,1.9927,9.0981,10.125,3.7955,2.8387,0.56466,1.5511,19.29,9.1223,3.426,8.3297,73.221,0.77553,6.0139,26.326,53.504,14.51,17.37,0.58359,1.279,3.5689,7.8407,992.9,6.4667,293.22,45.557,5.8778,94.455,1586,1596.1,42.784,629.2,130.66,177.88,32.107,0,25.114,5.8977,177.72,37.5,153.99,89.157,95.878,12.568,268.19,111.37,1.7173,328.46,76.003,230.16,791.65,620.8,12.45,137.63,12.612,262.45
ctx-rh-parahippocampal,0.40825,0,0.53161,7.3109,1.0624,6.9625,2.2742,1.6934,18.168,10.446,1.0598,21.961,1.8173,1.4346,7.1379,1.0598,0.28233,0.33783,0.28233,14.438,0.8297,0.63702,1.0321,14.688,0.41485,0.77553,1.018,10.657,1.9262,1.777,0.20412,0.20412,0.56466,0.86811,2.0198,8.7177,2.1653,68.088,212.81,309.93,31.543,68.605,200.35,68.587,8.4528,386.45,4.1492,25.114,0,0.57578,2.0834,1.1765,0.87539,50.595,0.77553,17.227,2.1464,171.79,6.2531,3.6888,24.497,100.66,13.087,3.9991,1.191,49.259,1.0901,44.243
ctx-rh-paracentral,4.0316,5.3154,32.593,1.5126,0.60792,1.3453,17.714,5.8345,47.686,1.9927,2.172,1.6594,1.2247,6.613,2.4716,465.71,26.847,1.1971,5.1286,0.86811,133.84,295.26,432.26,125.91,0.93153,15.064,220.69,108.6,29.914,80.259,0.38069,0.63702,4.96,17.199,6.5129,91.973,28.524,0.38069,0.50898,2.3266,19.97,1.9763,25.714,3.6386,2.576,0.83297,2.4043,5.8977,0.57578,0,30.805,4.2883,9.1446,0.76967,763.85,1081.7,1083,947.52,7.746,31.22,992.18,282.02,26.27,111.73,1.4346,0.40825,6.5838,44.067
ctx-rh-parsopercularis,0.88363,29.648,84.866,0.44843,0.20412,1.1788,5.0603,2.1531,2.8814,0.8297,3.0491,0.28233,1.9035,1.327,0.48154,7.5292,56.616,2.0624,17.475,0.44233,4.8745,8.0594,32.037,11.348,3.5054,106.78,257.76,10.701,2.2001,3.7064,0.96309,0.20412,0.88363,9.2704,74.789,122.7,1380.6,1.2482,0.46431,6.3856,271.47,77.259,19.761,13.035,105.69,2.4639,3.3813,177.72,2.0834,30.805,0,118.15,962.24,1.5269,250.53,36.305,1508.4,67.236,3.7096,891.16,653.52,106.04,123.67,417.88,3.2168,0.88465,8.3561,423.43
ctx-rh-parsorbitalis,0.28233,3.6113,4.1369,0.56466,0.20412,0.50898,0.96965,0.41485,1.4238,0.6469,11.332,0.55003,31.575,1.0632,0.38069,0.96309,5.752,18.042,19.265,0.57578,0.88055,1.4939,2.1865,2.7502,13.233,96.023,73.429,2.8079,0.46431,1.1788,7.7711,0.28233,0.44843,4.6108,21.37,8.0537,13.528,1.694,0.28233,5.2143,46.311,11.597,2.6689,9.9462,659.94,11.178,18.971,37.5,1.1765,4.2883,118.15,0,699.54,4.5522,36.523,2.5619,48.173,6.22,17.029,626.44,117.4,9.6053,58.423,72.966,29.001,5.4746,3.5129,168.49
ctx-rh-parstriangularis,0.55003,12.518,18.226,0.20412,0,0.28233,1.1156,0.92861,1.6918,0.28233,4.2917,0.7506,13.122,1.4039,0.33783,3.1714,25.292,7.4596,33.827,0.46431,2.1964,2.4789,5.5035,5.175,14.741,137.12,193.85,2.9818,1.1795,2.4134,3.1794,0.20412,0.33783,6.3719,36.931,63.826,92.21,1.0347,0.50898,4.2253,141.69,45.191,10.757,4.6927,445.15,2.8691,5.5404,153.99,0.87539,9.1446,962.24,699.54,0,1.2091,69.219,18.608,83.679,19.356,19.54,1326.8,428.32,30.743,101.13,113.09,8.5414,1.0072,6.6784,389.44
ctx-rh-pericalcarine,0.87539,0,0.50898,38.296,3.2878,39.559,13.261,13.536,44.412,141.35,0.77903,82.855,0.97709,2.4716,13.635,0.96965,0.53161,0,0.28233,65.353,1.3345,0.97431,0.82423,75.786,0.20412,0.83297,1.0598,92.706,3.8476,1.7673,0.28233,1.4744,0.77903,3.9554,18.229,0.77903,2.9672,3130.3,5.6021,186.9,51.016,116.27,120.4,2328.1,16.623,1645.9,1.8863,89.157,50.595,0.76967,1.5269,4.5522,1.2091,0,1.3181,1.2394,2.3774,424.04,0.58823,7.7318,2.9924,1164,86.177,3.2098,2.5181,8.4467,2.0412,51.222
ctx-rh-postcentral,3.6512,2.5872,12.394,0.72232,0,1.9519,10.066,3.8086,21.505,1.6746,0.99909,1.0495,0.71728,6.6951,2.3495,131.14,9.6548,0.55003,3.0995,1.1025,194.67,42.261,183.96,70.181,0.73721,8.4076,51.011,73.267,39.022,96.501,0.41485,0.28233,9.9909,11.542,16.693,6.7939,236,1.3825,0.20412,15.828,331.03,80.419,7.8477,15.437,20.645,1.9106,1.1156,95.878,0.77553,763.85,250.53,36.523,69.219,1.3181,0,118.18,2678.1,151.59,1.5174,114.83,162,1379.9,80.615,1003.8,1.329,0.97802,46.941,674.68
ctx-rh-posteriorcingulate,2.9927,19.767,75.647,2.0743,0.20412,1.8572,10.383,7.3217,43.785,1.8337,6.9088,1.0321,18.12,8.5388,2.4122,223.21,55.145,1.9035,5.133,1.2394,53.176,133.94,126.87,119.28,5.228,19.733,387.26,57.402,18.538,27.43,2.6811,0.65801,4.4719,9.9556,11.568,415.95,33.335,1.8631,2.7475,2.603,24.926,7.0644,409.8,3.2958,17.757,4.3487,49.61,12.568,17.227,1081.7,36.305,2.5619,18.608,1.2394,118.18,0,235.27,798.46,102.27,55.891,943.41,134.34,45.752,108.63,6.2832,1.1221,9.0497,34.929
ctx-rh-precentral,1.4039,22.129,224.34,1.6011,0.20412,2.3831,28.382,5.7835,27.746,3.0963,3.485,1.3613,1.2938,3.8664,0.72106,453.95,151.42,2.2129,13.045,1.6129,106.75,135.38,822.97,85.679,1.454,41.022,636.88,81.216,7.0767,43.308,0.83297,0.38069,2.8438,35.636,55.827,68.186,1686.9,2.9779,0.33783,35.648,729.45,207.18,11.596,49.505,28.809,4.0887,4.5556,268.19,2.1464,1083,1508.4,48.173,83.679,2.3774,2678.1,235.27,0,211.54,2.5862,547.99,1879.1,711.41,97.455,706.79,3.1851,1.6762,28.62,588.71
ctx-rh-precuneus,16.779,3.6453,30.432,87.95,2.9142,122.87,150.5,179.12,207.89,357.39,8.8333,154.65,12.124,42.32,28.391,113.91,21.759,2.5277,3.753,176.92,177.16,63.032,112.78,606.72,2.1264,17.663,101.44,453.33,115.08,186.97,2.1247,9.5916,28.233,56.422,33.147,126.25,73.77,937.63,47.805,133.29,407.88,126.94,1378.7,443.02,13.74,515.91,26.14,111.37,171.79,947.52,67.236,6.22,19.356,424.04,151.59,798.46,211.54,0,46.963,80.294,585.64,2209.6,226.1,218.44,4.4298,8.0447,37.609,159.65
ctx-rh-rostralanteriorcingulate,0,10.681,1.8411,0,0,0.28233,0.33783,0.65801,5.5319,0.33783,23.9,0.50898,74.204,0.65386,0.44233,0.58359,3.7993,7.7008,9.8245,0.20412,0.28233,3.5005,1.1221,3.0633,47.048,112.43,117.18,0.77553,0.76967,0.38069,15.448,0.33783,0.20412,4.7151,1.0417,397.59,2.3591,0.20412,0.65801,0.65938,1.5108,0.97431,60.939,0.63702,136.01,0.76967,655.03,1.7173,6.2531,7.746,3.7096,17.029,19.54,0.58823,1.5174,102.27,2.5862,46.963,0,137.93,720.74,3.9707,4.3305,1.6413,48.999,3.3941,0.28233,53.097
ctx-rh-rostralmiddlefrontal,1.7315,64.409,127.81,0.53161,0.40825,1.8292,6.507,4.9605,10.931,2.2586,84.153,1.7693,217.56,5.0803,2.2357,11.369,140.65,95.223,163.3,1.6918,5.4797,14.557,34.396,26.911,172.57,714.3,893.05,12.222,4.1439,8.3509,64.991,2.1665,1.3077,30.373,71.169,218.13,1387.8,2.9608,0.8165,30.367,587.08,224.07,24.907,46.619,501.43,23.93,119.81,328.46,3.6888,31.22,891.16,626.44,1326.8,7.7318,114.83,55.891,547.99,80.294,137.93,0,2483.2,123.85,117.52,191.7,194.69,10.371,6.7903,297.05
ctx-rh-superiorfrontal,3.0455,272.44,448.76,1.9486,0.48154,5.2625,32.269,16.688,39.221,6.5359,95.983,2.7819,252.95,10.632,2.4847,198.86,291.47,80.236,188.86,2.039,36.213,295.75,401.76,80.577,206.3,743.71,2077.3,79.625,9.9604,15.079,91.259,3.4922,3.2878,94.546,27.568,1846.8,1813.7,4.1839,5.5873,18.524,169.84,71.894,238.83,25.927,92.01,7.5698,734.47,76.003,24.497,992.18,653.52,117.4,428.32,2.9924,162,943.41,1879.1,585.64,720.74,2483.2,0,384.32,60.309,98.071,288.94,2.2063,6.5342,329.11
ctx-rh-superiorparietal,16.996,2.6973,19.159,82.799,3.8784,103.83,230.9,197.86,206.74,298.57,5.8029,133.2,6.1994,62.119,59.996,79.585,17.354,1.3929,2.9534,218.33,160.57,43.643,79.248,708.97,0.88363,11.019,53.397,520.86,108.25,190.75,0.69025,4.8805,22.051,43.773,61.38,16.692,343.92,1334.4,11.417,554.48,2599.7,288.99,439.95,2101.1,17.292,409.73,5.7553,230.16,100.66,282.02,106.04,9.6053,30.743,1164,1379.9,134.34,711.41,2209.6,3.9707,123.85,384.32,0,292,1567.3,3.266,8.5261,93.793,482.83
ctx-rh-superiortemporal,4.3829,0.85867,5.5166,8.2435,0.62409,14.278,29.662,25.176,41.125,41.799,2.0426,13.294,2.9239,15.273,10.976,18.688,3.2969,0.65386,1.5788,16.609,46.833,8.1025,11.163,138.2,0.9079,6.2796,14.287,114.56,35.417,50.158,0.83297,1.3929,9.6815,13.586,905.33,7.1128,39.963,48.203,12.989,58.049,413.21,111.83,130.29,369.87,214.45,176.27,103.81,791.65,13.087,26.27,123.67,58.423,101.13,86.177,80.615,45.752,97.455,226.1,4.3305,117.52,60.309,292,0,883.6,21.252,234.33,636.79,658.54
ctx-rh-supramarginal,3.9306,1.3772,8.3701,1.2847,0.28233,3.691,20.109,13.463,33.935,5.2309,1.459,2.3344,1.5511,11.378,8.4954,55.337,6.8398,0.63702,2.603,2.271,112.23,23.025,41.404,93.921,0.87539,12.629,25.993,83.497,38.824,102.06,0.70196,0.97709,11.542,16.208,708.78,10.255,163.01,3.2292,0.70196,15.404,1136,217.95,89.671,12.292,33.404,4.3587,7.6716,620.8,3.9991,111.73,417.88,72.966,113.09,3.2098,1003.8,108.63,706.79,218.44,1.6413,191.7,98.071,1567.3,883.6,0,2.6689,2.2357,179.9,741.69
ctx-rh-frontalpole,0.20412,17.924,1.2482,0.20412,0,0.28233,0,0.62409,4.7041,0.33783,48.321,0.44233,119.55,0.93153,0.85867,0.20412,2.4283,26.623,14.011,0.50898,0.33783,6.5705,0.49454,3.2471,37.865,72.738,78.713,0.41485,0.85867,0.58823,29.478,0.44233,0,3.8674,1.6806,11.447,4.4752,1.1887,0.48154,3.29,6.2367,5.0123,9.2685,6.7436,164.28,7.5918,273.97,12.45,1.191,1.4346,3.2168,29.001,8.5414,2.5181,1.329,6.2832,3.1851,4.4298,48.999,194.69,288.94,3.266,21.252,2.6689,0,6.0577,0.28233,31.948
ctx-rh-temporalpole,0,0.50898,0,0.50898,0,2.3464,0.83406,1.6146,1.2329,2.3266,0.62409,1.6011,1.628,0.50898,0.28233,0.40825,0,0,0,1.7508,0.20412,0.20412,0.28233,3.8596,0.69025,0.65801,1.0959,2.8127,0.60792,0.44843,0.20412,0,0,0.38069,3.0429,2.5022,1.3345,1.9035,107.69,151.04,14.829,249.57,4.0825,19.531,88.03,17.215,42.824,137.63,49.259,0.40825,0.88465,5.4746,1.0072,8.4467,0.97802,1.1221,1.6762,8.0447,3.3941,10.371,2.2063,8.5261,234.33,2.2357,6.0577,0,0.48154,391.28
ctx-rh-transversetemporal,1.018,0.48154,1.3345,1.1971,0,2.0782,4.0752,2.5524,3.8653,4.2424,0.33783,1.8371,0.28233,1.9444,0.48154,3.8069,0.57578,0,0.28233,1.9542,11.613,2.6943,3.0916,21.189,0,1.2854,2.3713,15.869,5.6696,8.3117,0,0,1.8292,2.5676,23.708,1.6676,2.8842,2.7502,0.50898,1.8631,50.237,4.653,19.437,9.686,2.604,2,0.50898,12.612,1.0901,6.5838,8.3561,3.5129,6.6784,2.0412,46.941,9.0497,28.62,37.609,0.28233,6.7903,6.5342,93.793,636.79,179.9,0.28233,0.48154,0,293.78
ctx-rh-insula,2.1315,5.7292,25.962,5.3724,0.41485,8.4076,21.673,16.264,14.629,22.504,12.821,10.174,32.045,6.8829,4.1354,17.999,10.147,1.391,4.5634,11.508,21.627,14.412,38.96,91.043,7.3952,27.235,87.321,58.844,17.693,26.155,2.0283,1.0417,4.159,10.946,60.499,38.614,96.493,18.892,216.64,91.334,273.03,161.58,51.892,180.49,545.25,92.057,222.87,262.45,44.243,44.067,423.43,168.49,389.44,51.222,674.68,34.929,588.71,159.65,53.097,297.05,329.11,482.83,658.54,741.69,31.948,391.28,293.78,0
